indice_tiempo,ipc_ng_nacional,ipc_ng_gba,ipc_ng_pampeana,ipc_ng_nea,ipc_ng_noa,ipc_ng_cuyo,ipc_ng_patagonia,ipc_ng_nacional_tasa_variacion_mensual
2017-01-01,101.5859,101313,101.7874,101.6727,101.6014,101.7074,102.5593,0.015858999999999845
2017-02-01,103.6859,103.8085,103.5312,103.4617,103.7115,103.2652,104.2827,0.020672160211210544
2017-03-01,106.1476,106.2627,105.8173,105988,107055,105.9238,106.5167,0.023741897403600554
2017-04-01,108.9667,109.0613,108.6912,108.3473,109.9626,109.4506,108.6517,0.026558301836310916
2017-05-01,110.5301,110.4607,110.3005,110.4331,111636,111.3091,110.4897,0.014347502493881281
2017-06-01,111.8477,111.9943,111.4058,111.9403,112.6924,112.4298,111.7051,0.011920734713892323
2017-07-01,113.7852,113.9199,113.5783,113.3741,114.2857,114.0184,113.3785,0.017322662871029015
2017-08-01,115.3819,115.6031,115.0905,114.6809,115.7385,115.5674,115.3036,0.014032580687119323
2017-09-01,117.5719,117.9656,117.2947,116.1702,117.7781,117.5777,116.7945,0.01898044667317844
2017-10-01,119.3528,119.4985,119272,117.9026,119.9939,119.5964,118.7072,0.015147326869770827
2017-11-01,120.994,120.8941,121.2004,119696,121506,121.4671,120.4376,0.013750829473627713
2017-12-01,124.7956,125.0392,124.9703,122.2757,124313,125.5295,123.4627,0.031419739821809234
2018-01-01,126.9887,127.0147,127.3092,124.7172,126.6479,127.4142,126.6303,0.01757353624647018
2018-02-01,130.0606,130.2913,130294,127.2934,129236,130773,129.2057,0.024190341345332378
2018-03-01,133.1054,133.5028,132.8261,130.3843,133248,133.5455,133.2304,0.023410625508416993
2018-04-01,136.7512,136938,136.6295,133.8357,137.0205,138.0246,136.8583,0.027390323758465174
2018-05-01,139.5893,139.58,139.6555,137.2536,140178,140.5213,139.5783,0.020753748413176565
2018-06-01,144.8053,145.0582,144.8408,141.5055,144.9444,145.6472,144143,0.03736676091935398
2018-07-01,149.2966,149.1178,149.6247,146.3416,149.9066,150.9503,148.7858,0.031016129934470893
2018-08-01,155.1034,155.1747,155.2167,152.1739,155.8659,156.0822,154.2103,0.038894388753662135
2018-09-01,165.2383,165.4903,165.0633,163.3,165.1776,166.7562,164.3327,0.06534286160071301
2018-10-01,174.1473,173.8549,174.6171,171.25,173.9582,176.6713,173.8678,0.05391607151610733
2018-11-01,179.6388,178877,180.3503,176.4283,179.6479,183.1394,181.1502,0.0315336499618426
