indice_tiempo,rem_bruta_asal_agricultura_ganaderia_caza_silvicultura,rem_bruta_asal_pesca,rem_bruta_asal_explotacion_minas_canteras,rem_bruta_asal_industrias_manufactureras,rem_bruta_asal_suministro_electricidad_gas_agua,rem_bruta_asal_construccion,rem_bruta_asal_comercio_reparaciones,rem_bruta_asal_hoteles_restaurantes,rem_bruta_asal_transporte_almacenamiento_comunicaciones,rem_bruta_asal_intermediacion_financiera,rem_bruta_asal_acti_inmobiliarias_empresariales_alquiler,rem_bruta_asal_ensenianza,rem_bruta_asal_servicios_sociales_salud,rem_bruta_asal_otras_acti_comunitarias_soc_personales,rem_bruta_asal_total
1995-01-01,409.0,1204.0,1907.0,1030.0,1938.0,592.0,707.0,526.0,1101.0,1671.0,724.0,,787.0,770.0,885.0
1995-02-01,418.0,1245.0,1822.0,906.0,1713.0,581.0,666.0,511.0,1062.0,1661.0,684.0,,744.0,738.0,826.0
1995-03-01,435.0,1261.0,1773.0,919.0,1815.0,592.0,660.0,507.0,1122.0,1589.0,668.0,,730.0,733.0,826.0
1995-04-01,394.0,1216.0,1808.0,891.0,1550.0,572.0,650.0,509.0,1040.0,1547.0,667.0,527.0,727.0,718.0,785.0
1995-05-01,395.0,1174.0,1848.0,920.0,1531.0,600.0,648.0,510.0,1049.0,1561.0,678.0,528.0,731.0,727.0,800.0
1995-06-01,589.0,1386.0,2702.0,1398.0,2274.0,846.0,975.0,739.0,1550.0,2393.0,1001.0,729.0,1090.0,1079.0,1206.0
1995-07-01,415.0,1177.0,1792.0,934.0,1494.0,590.0,646.0,505.0,1035.0,1543.0,678.0,530.0,738.0,721.0,810.0
1995-08-01,419.0,1190.0,1790.0,917.0,1470.0,599.0,648.0,508.0,1028.0,1564.0,679.0,525.0,736.0,721.0,806.0
1995-09-01,417.0,1187.0,1821.0,901.0,1566.0,589.0,654.0,496.0,1080.0,1599.0,673.0,524.0,735.0,723.0,807.0
1995-10-01,415.0,1234.0,1834.0,918.0,1493.0,592.0,650.0,506.0,1052.0,1563.0,678.0,522.0,734.0,742.0,809.0
1995-11-01,416.0,1223.0,1855.0,926.0,1522.0,599.0,651.0,502.0,1038.0,1689.0,675.0,527.0,731.0,731.0,814.0
1995-12-01,588.0,1515.0,2897.0,1487.0,2318.0,922.0,993.0,745.0,1612.0,2447.0,1033.0,751.0,1104.0,1110.0,1255.0
1996-01-01,396.0,1182.0,1958.0,1034.0,1834.0,624.0,698.0,534.0,1109.0,1731.0,734.0,535.0,783.0,776.0,864.0
1996-02-01,398.0,1234.0,1910.0,937.0,1614.0,608.0,674.0,515.0,1073.0,1703.0,684.0,533.0,752.0,736.0,816.0
1996-03-01,392.0,1307.0,1887.0,928.0,1775.0,605.0,653.0,498.0,1106.0,1650.0,682.0,521.0,733.0,728.0,808.0
1996-04-01,396.0,1188.0,1894.0,934.0,1535.0,604.0,656.0,498.0,1041.0,1578.0,668.0,523.0,731.0,719.0,797.0
1996-05-01,389.0,1303.0,2028.0,944.0,1509.0,624.0,655.0,509.0,1038.0,1581.0,675.0,523.0,734.0,723.0,805.0
1996-06-01,549.0,1386.0,2796.0,1389.0,2172.0,844.0,966.0,727.0,1535.0,2367.0,974.0,726.0,1089.0,1068.0,1173.0
1996-07-01,391.0,1162.0,1890.0,951.0,1503.0,596.0,656.0,501.0,1024.0,1578.0,669.0,526.0,747.0,713.0,801.0
1996-08-01,391.0,1189.0,1849.0,946.0,1524.0,593.0,656.0,511.0,1040.0,1634.0,673.0,529.0,741.0,712.0,802.0
1996-09-01,387.0,1249.0,1922.0,929.0,1582.0,565.0,659.0,496.0,1084.0,1698.0,666.0,527.0,751.0,716.0,804.0
1996-10-01,393.0,1219.0,1863.0,955.0,1585.0,595.0,659.0,504.0,1043.0,1639.0,674.0,528.0,748.0,718.0,807.0
1996-11-01,390.0,1354.0,1929.0,947.0,1506.0,595.0,653.0,496.0,1021.0,1620.0,670.0,529.0,738.0,737.0,800.0
1996-12-01,552.0,1470.0,2905.0,1499.0,2304.0,827.0,984.0,725.0,1543.0,2503.0,984.0,746.0,1105.0,1077.0,1207.0
1997-01-01,404.0,1146.0,2068.0,1031.0,1829.0,580.0,699.0,518.0,1086.0,1776.0,713.0,528.0,795.0,761.0,851.0
1997-02-01,405.0,1180.0,1907.0,926.0,1646.0,545.0,675.0,509.0,1038.0,1773.0,688.0,528.0,754.0,730.0,803.0
1997-03-01,405.0,1186.0,1916.0,935.0,1770.0,565.0,663.0,502.0,1070.0,1631.0,683.0,524.0,745.0,727.0,801.0
1997-04-01,401.0,1296.0,1979.0,936.0,1640.0,575.0,663.0,495.0,1001.0,1618.0,667.0,522.0,740.0,720.0,793.0
1997-05-01,394.0,1251.0,2162.0,941.0,1516.0,577.0,665.0,504.0,1010.0,1606.0,674.0,522.0,745.0,729.0,799.0
1997-06-01,558.0,1464.0,2826.0,1399.0,2295.0,781.0,986.0,724.0,1477.0,2473.0,972.0,728.0,1101.0,1069.0,1169.0
1997-07-01,398.0,1191.0,1913.0,947.0,1525.0,569.0,668.0,503.0,999.0,1622.0,673.0,523.0,753.0,732.0,798.0
1997-08-01,396.0,1086.0,1878.0,926.0,1526.0,549.0,663.0,510.0,986.0,1718.0,672.0,520.0,746.0,725.0,791.0
1997-09-01,400.0,1209.0,1954.0,939.0,1608.0,557.0,672.0,496.0,1025.0,1647.0,672.0,525.0,751.0,747.0,801.0
1997-10-01,404.0,1228.0,2019.0,984.0,1565.0,596.0,672.0,501.0,975.0,1720.0,692.0,525.0,749.0,734.0,816.0
1997-11-01,397.0,1181.0,1946.0,925.0,1527.0,545.0,666.0,495.0,1007.0,1712.0,668.0,527.0,744.0,733.0,793.0
1997-12-01,559.0,1476.0,2981.0,1494.0,2333.0,814.0,1006.0,722.0,1522.0,2573.0,1001.0,730.0,1116.0,1103.0,1206.0
1998-01-01,409.0,971.0,2100.0,1035.0,1891.0,572.0,720.0,520.0,1096.0,1779.0,722.0,517.0,799.0,782.0,854.0
1998-02-01,410.0,1116.0,2013.0,932.0,1690.0,553.0,693.0,507.0,1035.0,1849.0,694.0,526.0,767.0,743.0,810.0
1998-03-01,419.0,1358.0,2295.0,951.0,1862.0,570.0,681.0,504.0,1052.0,1781.0,702.0,527.0,751.0,740.0,817.0
1998-04-01,405.0,1331.0,2059.0,958.0,1704.0,567.0,683.0,505.0,1007.0,1704.0,687.0,531.0,753.0,735.0,807.0
1998-05-01,400.0,1363.0,2005.0,941.0,1617.0,564.0,676.0,510.0,1009.0,1660.0,684.0,531.0,754.0,736.0,800.0
1998-06-01,570.0,1617.0,2994.0,1424.0,2312.0,798.0,1011.0,729.0,1504.0,2528.0,983.0,740.0,1114.0,1083.0,1182.0
1998-07-01,398.0,1318.0,2084.0,957.0,1537.0,581.0,679.0,502.0,1012.0,1670.0,683.0,531.0,763.0,736.0,805.0
1998-08-01,401.0,1312.0,1985.0,940.0,1574.0,564.0,678.0,511.0,1017.0,1745.0,680.0,531.0,759.0,732.0,802.0
1998-09-01,403.0,1288.0,2021.0,940.0,1598.0,575.0,680.0,495.0,1046.0,1675.0,675.0,532.0,760.0,748.0,803.0
1998-10-01,405.0,1460.0,2100.0,973.0,1564.0,613.0,680.0,504.0,1032.0,1726.0,700.0,532.0,763.0,741.0,818.0
1998-11-01,400.0,1399.0,2028.0,940.0,1590.0,562.0,680.0,497.0,1023.0,1751.0,680.0,535.0,760.0,737.0,802.0
1998-12-01,567.0,1503.0,3067.0,1512.0,2450.0,834.0,1028.0,732.0,1569.0,2578.0,1016.0,765.0,1162.0,1126.0,1225.0
1999-01-01,408.0,1162.0,2300.0,1024.0,1886.0,586.0,731.0,526.0,1107.0,1798.0,728.0,539.0,785.0,789.0,857.0
1999-02-01,413.0,1275.0,2207.0,941.0,1720.0,559.0,703.0,513.0,1051.0,1909.0,699.0,537.0,786.0,762.0,821.0
1999-03-01,418.0,1279.0,2011.0,971.0,1911.0,585.0,696.0,512.0,1067.0,1801.0,701.0,533.0,775.0,761.0,826.0
1999-04-01,408.0,1390.0,2124.0,970.0,1716.0,572.0,684.0,506.0,1018.0,1779.0,691.0,540.0,762.0,752.0,814.0
1999-05-01,400.0,1339.0,1960.0,949.0,1568.0,573.0,681.0,508.0,1028.0,1693.0,694.0,537.0,765.0,754.0,804.0
1999-06-01,576.0,1502.0,3355.0,1424.0,2300.0,805.0,1023.0,731.0,1518.0,2497.0,995.0,754.0,1146.0,1127.0,1189.0
1999-07-01,403.0,1329.0,1974.0,955.0,1563.0,570.0,685.0,505.0,1030.0,1667.0,694.0,539.0,773.0,759.0,807.0
1999-08-01,404.0,1352.0,1994.0,950.0,1589.0,571.0,684.0,508.0,1023.0,1755.0,692.0,535.0,766.0,753.0,807.0
1999-09-01,400.0,1143.0,2003.0,951.0,1617.0,568.0,687.0,493.0,1047.0,1761.0,689.0,538.0,766.0,772.0,810.0
1999-10-01,404.0,1190.0,2028.0,981.0,1575.0,597.0,686.0,500.0,1005.0,1697.0,708.0,538.0,764.0,763.0,815.0
1999-11-01,398.0,1231.0,1969.0,963.0,1588.0,583.0,687.0,497.0,1023.0,1746.0,694.0,537.0,762.0,760.0,809.0
