indice_tiempo,zona_prov,promedio
2013-01-01,BUENOS AIRES,7776
2013-01-01,CAPITAL FEDERAL,9675
2013-01-01,CATAMARCA,6416
2013-01-01,CHACO,6531
2013-01-01,CHUBUT,11452
2013-01-01,CORDOBA,7350
2013-01-01,CORRIENTES,6173
2013-01-01,ENTRE RIOS,6108
2013-01-01,FORMOSA,5903
2013-01-01,JUJUY,5543
2013-01-01,LA PAMPA,8103
2013-01-01,LA RIOJA,4992
2013-01-01,MENDOZA,6641
2013-01-01,MISIONES,6053
2013-01-01,NEUQUEN,10418
2013-01-01,RIO NEGRO,6815
2013-01-01,SALTA,5943
2013-01-01,SAN JUAN,7054
2013-01-01,SAN LUIS,6926
2013-01-01,SANTA CRUZ,14855
2013-01-01,SANTA FE,7480
2013-01-01,SANTIAGO DEL ESTERO,4837
2013-01-01,TIERRA DEL FUEGO,12540
2013-01-01,TUCUMAN,5873
2013-02-01,BUENOS AIRES,7365
2013-02-01,CAPITAL FEDERAL,9426
2013-02-01,CATAMARCA,6011
2013-02-01,CHACO,6257
2013-02-01,CHUBUT,11111
2013-02-01,CORDOBA,6983
2013-02-01,CORRIENTES,6129
2013-02-01,ENTRE RIOS,5862
2013-02-01,FORMOSA,5803
2013-02-01,JUJUY,5233
2013-02-01,LA PAMPA,7619
2013-02-01,LA RIOJA,4699
2013-02-01,MENDOZA,6454
2013-02-01,MISIONES,5812
2013-02-01,NEUQUEN,10306
2013-02-01,RIO NEGRO,7244
2013-02-01,SALTA,5985
2013-02-01,SAN JUAN,7195
2013-02-01,SAN LUIS,6730
2013-02-01,SANTA CRUZ,14255
2013-02-01,SANTA FE,7068
2013-02-01,SANTIAGO DEL ESTERO,4832
2013-02-01,TIERRA DEL FUEGO,12607
2013-02-01,TUCUMAN,5568
2013-03-01,BUENOS AIRES,7963
2013-03-01,CAPITAL FEDERAL,10045
2013-03-01,CATAMARCA,6249
2013-03-01,CHACO,6577
2013-03-01,CHUBUT,11426
2013-03-01,CORDOBA,7473
2013-03-01,CORRIENTES,6586
2013-03-01,ENTRE RIOS,6267
2013-03-01,FORMOSA,6464
2013-03-01,JUJUY,5681
2013-03-01,LA PAMPA,8029
2013-03-01,LA RIOJA,4807
2013-03-01,MENDOZA,6462
2013-03-01,MISIONES,5988
2013-03-01,NEUQUEN,10680
2013-03-01,RIO NEGRO,7468
2013-03-01,SALTA,6330
2013-03-01,SAN JUAN,7328
2013-03-01,SAN LUIS,7268
2013-03-01,SANTA CRUZ,14585
2013-03-01,SANTA FE,7569
2013-03-01,SANTIAGO DEL ESTERO,5381
2013-03-01,TIERRA DEL FUEGO,13061
2013-03-01,TUCUMAN,5822
2013-04-01,BUENOS AIRES,7958
2013-04-01,CAPITAL FEDERAL,9649
2013-04-01,CATAMARCA,6308
2013-04-01,CHACO,6734
2013-04-01,CHUBUT,11817
2013-04-01,CORDOBA,7462
2013-04-01,CORRIENTES,6674
2013-04-01,ENTRE RIOS,6443
2013-04-01,FORMOSA,6583
2013-04-01,JUJUY,6004
2013-04-01,LA PAMPA,7931
2013-04-01,LA RIOJA,5234
2013-04-01,MENDOZA,7147
2013-04-01,MISIONES,6176
2013-04-01,NEUQUEN,10872
2013-04-01,RIO NEGRO,7740
2013-04-01,SALTA,6392
2013-04-01,SAN JUAN,7670
2013-04-01,SAN LUIS,7236
2013-04-01,SANTA CRUZ,14829
2013-04-01,SANTA FE,7723
2013-04-01,SANTIAGO DEL ESTERO,5344
2013-04-01,TIERRA DEL FUEGO,13414
2013-04-01,TUCUMAN,5811
2013-05-01,BUENOS AIRES,8254
2013-05-01,CAPITAL FEDERAL,9948
2013-05-01,CATAMARCA,6843
2013-05-01,CHACO,6936
2013-05-01,CHUBUT,12278
2013-05-01,CORDOBA,7809
2013-05-01,CORRIENTES,6804
2013-05-01,ENTRE RIOS,6628
2013-05-01,FORMOSA,6776
2013-05-01,JUJUY,6029
2013-05-01,LA PAMPA,8394
2013-05-01,LA RIOJA,5417
2013-05-01,MENDOZA,7716
2013-05-01,MISIONES,6427
2013-05-01,NEUQUEN,11465
2013-05-01,RIO NEGRO,8070
2013-05-01,SALTA,6694
2013-05-01,SAN JUAN,7972
2013-05-01,SAN LUIS,7438
2013-05-01,SANTA CRUZ,15800
2013-05-01,SANTA FE,8048
2013-05-01,SANTIAGO DEL ESTERO,5472
2013-05-01,TIERRA DEL FUEGO,13804
2013-05-01,TUCUMAN,6085
2013-06-01,BUENOS AIRES,11816
2013-06-01,CAPITAL FEDERAL,14267
2013-06-01,CATAMARCA,10055
2013-06-01,CHACO,10038
2013-06-01,CHUBUT,16189
2013-06-01,CORDOBA,11313
2013-06-01,CORRIENTES,9726
2013-06-01,ENTRE RIOS,9378
2013-06-01,FORMOSA,9479
2013-06-01,JUJUY,8811
2013-06-01,LA PAMPA,12119
2013-06-01,LA RIOJA,7877
2013-06-01,MENDOZA,10555
2013-06-01,MISIONES,8676
2013-06-01,NEUQUEN,15723
2013-06-01,RIO NEGRO,11222
2013-06-01,SALTA,9313
2013-06-01,SAN JUAN,11569
2013-06-01,SAN LUIS,10865
2013-06-01,SANTA CRUZ,22601
2013-06-01,SANTA FE,11324
2013-06-01,SANTIAGO DEL ESTERO,7857
2013-06-01,TIERRA DEL FUEGO,18333
2013-06-01,TUCUMAN,8691
2013-07-01,BUENOS AIRES,8526
2013-07-01,CAPITAL FEDERAL,10201
2013-07-01,CATAMARCA,7238
2013-07-01,CHACO,7358
2013-07-01,CHUBUT,12996
2013-07-01,CORDOBA,8080
2013-07-01,CORRIENTES,7192
2013-07-01,ENTRE RIOS,6864
2013-07-01,FORMOSA,7250
2013-07-01,JUJUY,6464
2013-07-01,LA PAMPA,8808
2013-07-01,LA RIOJA,5721
2013-07-01,MENDOZA,7711
2013-07-01,MISIONES,6821
2013-07-01,NEUQUEN,11935
2013-07-01,RIO NEGRO,8285
2013-07-01,SALTA,6961
2013-07-01,SAN JUAN,8373
2013-07-01,SAN LUIS,7927
2013-07-01,SANTA CRUZ,17384
2013-07-01,SANTA FE,8344
2013-07-01,SANTIAGO DEL ESTERO,5733
2013-07-01,TIERRA DEL FUEGO,15741
2013-07-01,TUCUMAN,6245
2013-08-01,BUENOS AIRES,8449
2013-08-01,CAPITAL FEDERAL,10515
2013-08-01,CATAMARCA,7246
2013-08-01,CHACO,7412
2013-08-01,CHUBUT,12688
2013-08-01,CORDOBA,8050
2013-08-01,CORRIENTES,7258
2013-08-01,ENTRE RIOS,6900
2013-08-01,FORMOSA,7073
2013-08-01,JUJUY,6660
2013-08-01,LA PAMPA,8597
2013-08-01,LA RIOJA,5923
2013-08-01,MENDOZA,7846
2013-08-01,MISIONES,6973
2013-08-01,NEUQUEN,11851
2013-08-01,RIO NEGRO,8472
2013-08-01,SALTA,7056
2013-08-01,SAN JUAN,8058
2013-08-01,SAN LUIS,7819
2013-08-01,SANTA CRUZ,16707
2013-08-01,SANTA FE,8315
2013-08-01,SANTIAGO DEL ESTERO,5662
2013-08-01,TIERRA DEL FUEGO,15116
2013-08-01,TUCUMAN,6280
2013-09-01,BUENOS AIRES,8657
2013-09-01,CAPITAL FEDERAL,10640
2013-09-01,CATAMARCA,7374
2013-09-01,CHACO,7606
2013-09-01,CHUBUT,13048
2013-09-01,CORDOBA,8157
2013-09-01,CORRIENTES,7296
2013-09-01,ENTRE RIOS,7057
2013-09-01,FORMOSA,7282
2013-09-01,JUJUY,6644
2013-09-01,LA PAMPA,9125
2013-09-01,LA RIOJA,6078
2013-09-01,MENDOZA,7658
2013-09-01,MISIONES,7052
2013-09-01,NEUQUEN,12148
2013-09-01,RIO NEGRO,8611
2013-09-01,SALTA,7114
2013-09-01,SAN JUAN,8102
2013-09-01,SAN LUIS,7904
2013-09-01,SANTA CRUZ,17077
2013-09-01,SANTA FE,8445
2013-09-01,SANTIAGO DEL ESTERO,5763
2013-09-01,TIERRA DEL FUEGO,15758
2013-09-01,TUCUMAN,6452
2013-10-01,BUENOS AIRES,8886
2013-10-01,CAPITAL FEDERAL,10798
2013-10-01,CATAMARCA,7486
2013-10-01,CHACO,7799
2013-10-01,CHUBUT,13151
2013-10-01,CORDOBA,8374
2013-10-01,CORRIENTES,7411
2013-10-01,ENTRE RIOS,7065
2013-10-01,FORMOSA,7419
2013-10-01,JUJUY,6699
2013-10-01,LA PAMPA,9085
2013-10-01,LA RIOJA,6186
2013-10-01,MENDOZA,7757
2013-10-01,MISIONES,7294
2013-10-01,NEUQUEN,12332
2013-10-01,RIO NEGRO,8720
2013-10-01,SALTA,7138
2013-10-01,SAN JUAN,8031
2013-10-01,SAN LUIS,8062
2013-10-01,SANTA CRUZ,17363
2013-10-01,SANTA FE,8562
2013-10-01,SANTIAGO DEL ESTERO,5763
